system:index,AREASYMBOL,FA,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,channel_1000m,channel_100m,channel_10m,channel_200m,channel_500m,channel_700m,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surf_clayD_60,surf_clayU_60,surf_clay_background,surf_claybg,surf_sandD_60,surf_sandU_60,surf_sand_background,surf_sandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
0000000000000000030d,AZ669,62.80206077311808,Flank,53886,73,MLC;110222,,37.4714483318,,Berm,-180.0,-66.99666595458987,-79.69910032920225,1038.777478931568,0.0,0.0,0.0,0.0,0.0,0.0,1,0.40050892429283863,-0.06031057631199324,0000000000000000030d,0,31.887523713378584,-111.52188821179894,82.78238733923715,1042.5799560546875,471.70775443269054,0.14170240844605742,0.1512926326010438,0.1431342091275564,-3.3697382756049588,-3.4025632360297777,1.3686461228826374,3.3697382756049588,3.4025632360297777,1.3906271241167663,3.3697382756049588,3.4025632360297777,22.0,22.0,22.924779254118707,22.0,54.0,54.0,51.752765318212596,54.0,1.0,1.0,1.4390741367637099,1.0,1041.7468064831148,1043.0115256096294,"{""type"":""LineString"",""coordinates"":[[-111.52185766711719,31.887691774594696],[-111.52191875636923,31.887355652155186]]}"
00000000000000000315,AZ669,101.45595301655098,Flank,53886,73,MLC;110222,,46.7633444707,,Berm,-49.66558837890625,-113.00347993242183,-88.8888424260026,1029.573453229677,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.2807639231928197,0.15803895868907664,00000000000000000315,0,31.88673526676096,-111.51259882251023,217.3497541101436,1027.7020263671875,265.55461518650094,0.14944875459371174,0.17701453104359313,0.13816761777570288,-4.684939142107623,-4.310448829067639,1.9451890568764914,4.684939142107623,4.310448829067639,1.8564860026041667,4.684939142107623,4.310448829067639,23.39569945625309,21.45402867029165,21.81175919238886,21.333333333333332,48.51075135936727,52.81895699456254,51.90905115374043,53.0,1.0,1.0,1.0009871499570524,1.0,1026.3318120086542,1028.3394180226317,"{""type"":""LineString"",""coordinates"":[[-111.51260290524067,31.88652477057524],[-111.51259473976111,31.886945762946542]]}"
00000000000000000319,AZ669,147.42773854102487,Flank,53793,27,MLC;110222,,70.3999034623,,Berm,16.408779626474853,-90.00000000000003,-12.870070922294206,1040.398142204583,0.0,0.0,0.0,0.0,0.0,0.0,1,0.08615369465013666,0.5157093874381972,00000000000000000319,0,31.903027342137754,-111.51258148518764,51.59457024927916,1037.534938267299,1074.9983597179585,0.15652310384099105,0.1448889830989375,0.14015055768833087,-2.868131123910871,-3.888170861962635,0.2370031476281535,2.868131123910871,3.888170861962635,1.5079487878112257,2.868131123910871,3.888170861962635,21.897983697983697,21.491637361694828,22.105626882502,22.112924001717477,54.653024453024436,54.968693713011405,53.56295470484289,54.33061399742379,1.0,1.0,1.10860051628251,1.0,1036.86569948204,1037.9251197076612,"{""type"":""LineString"",""coordinates"":[[-111.51294062917437,31.902945284025986],[-111.5122223405605,31.90310939923951]]}"
0000000000000000031c,AZ669,47.14639541508865,Flank,53793,27,MLC;110222,,118.447166818,,Berm,-49.67010498046881,-30.49639920980428,-32.18508854786969,1036.1375830460368,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2272808765868422,0.26597350399327824,0000000000000000031c,0,31.90154882378239,-111.50660981446657,227.86193113362566,1028.2701460630155,1409.251480421161,0.12215624585017543,0.15492855885813414,0.13720396088202702,-4.259477750177211,-4.047562185778361,1.6317140251805993,4.259477750177211,4.047562185778361,1.3899697243293,4.259477750177211,4.047562185778361,23.561266274674498,22.0,22.52145638124644,22.291501416430595,52.49217765644684,54.0,53.44847842867689,53.7084985835694,1.0,1.0,1.0,1.0,1026.7738242431972,1028.6485180611148,"{""type"":""LineString"",""coordinates"":[[-111.5071146529687,31.90123109137531],[-111.50610497247906,31.901866554193823]]}"
0000000000000000031e,AZ669,354.3308937176105,Flank,53793,27,MLC;110222,,75.0251963919,,Berm,-89.99999999999996,-113.00339511458563,-88.53621091648377,1022.2175274950989,0.0,0.0,0.0,0.0,0.0,0.0,1,0.14194747041957895,-0.16131623220825458,0000000000000000031e,0,31.887154102381654,-111.50810823643666,42637.851343066446,1019.1153942386047,281.1563074846264,0.15109717868338557,0.17766789328426863,0.1490101075670623,-3.5480433198522405,-3.3903821917697883,2.1962466686219764,3.5480433198522405,3.3903821917697883,1.6685275987036143,3.5480433198522405,3.3903821917697883,23.0,22.138100217163995,22.743984628219,23.0,51.0,49.276200434328004,50.777861353099745,51.0,2.0,1.1381002171639991,1.0762270756690961,2.0,1017.8356483845298,1019.2067718505859,"{""type"":""LineString"",""coordinates"":[[-111.50811687720979,31.886815956716784],[-111.50809959560007,31.887492248045927]]}"
00000000000000000321,AZ669,221.7305769752393,Flank,53793,27,MLC;110222,,96.1674473371,,Berm,-130.33517456054688,-141.86360931396484,81.35924003004439,1008.0869750976561,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.045103483079828366,-0.05805929228236001,00000000000000000321,0,31.884157084151525,-111.49761566677057,186.14610382482022,1006.7849731445312,39.03667251633341,0.13194117092486093,0.1968629961587708,0.1420936018349655,-2.5429736905558684,-2.4861479516996496,1.2315285917067815,2.5429736905558684,2.4861479516996496,1.3555266600188056,2.5429736905558684,2.4861479516996496,22.791927449227224,24.42931034482759,22.22010918172809,22.82025677603424,48.10403627538638,48.73071519795659,48.925294147230936,48.089871611982886,1.0,1.0,1.0062565101770042,1.0,1005.152494813487,1006.1830531168417,"{""type"":""LineString"",""coordinates"":[[-111.49755037426439,31.88372742306842],[-111.4976809598859,31.884586745201283]]}"
0000000000000000019d,AZ669,25.620214330741753,Breach,53895,8,TCD,,84.8820195529,,Berm,-49.69523620605469,-90.00000000000004,72.01311139152048,847.4705237777645,0.32495487146510676,0.0,0.0,0.0,0.0,0.19037622172768237,0,0.21500378422167665,0.15489778184250752,0000000000000000019d,0,31.983012584483877,-111.40151600193857,150.05732722488864,847.8419799804688,256.5065691666293,0.09275718608169439,0.09986068265499051,0.09537207009268647,-3.492547445705782,-3.3118630549073482,1.558094379359242,3.492547445705782,3.3118630549073482,1.1135814453469568,3.492547445705782,3.3118630549073482,24.0,24.17713261648744,24.974645850976867,24.0,45.0,45.08487455197131,46.04076207448006,45.0,1.0,1.0,1.0,1.0,846.7308654785156,848.1130240814441,"{""type"":""LineString"",""coordinates"":[[-111.40163582942574,31.983381661385863],[-111.40139617541544,31.9826435074693]]}"
000000000000000001ae,AZ669,94.0080435693339,Breach,53807,30,TCD,,151.357352722,,Berm,-158.54954919338843,-89.99999999999999,72.88577964935115,855.7178052223161,0.9667479708293851,0.09927897490832686,0.009700465576202055,0.2941930699188332,0.6837485064480248,0.7839990111655889,0,0.18645408680654105,0.10348090985568223,000000000000000001ae,0,31.96546808845572,-111.40400295304853,112.59730735867245,857.5065528071204,175.7095390835084,0.09117257644910465,0.10286758206877421,0.104021539397511,-3.408477385887977,-3.2839028520897955,1.248644469395117,3.408477385887977,3.2839028520897955,0.9483793097240323,3.408477385887977,3.2839028520897955,22.713746004068586,22.643245712387344,23.822491862716795,22.804215337734888,49.0,49.71350857522527,48.30347492892745,49.0,1.0,1.0,1.0,1.0,855.9301182848715,857.4917999005698,"{""type"":""LineString"",""coordinates"":[[-111.40417683326162,31.966132292255526],[-111.40401074916346,31.96539390690885],[-111.40377183009173,31.964816970545275]]}"
000000000000000001b4,AZ669,694.3575016811042,Breach,53807,30,TCD,,93.1654917024,,Berm,-67.0149078369141,-49.690916310670644,-87.73129971545119,843.0410013485366,1.0,0.1520413460895929,0.024103321817212964,0.22161954081350002,0.5837901990942835,0.8902539810004001,1,0.01699621296680909,0.05277041687969593,000000000000000001b4,1,31.969063097514802,-111.39575178790659,151.03342968837592,844.4810774630348,625.9953488186264,0.10566392895004545,0.1161035926394704,0.11234044896648519,-2.215087369195885,-2.232335408528627,0.9154959176445725,2.215087369195885,2.232335408528627,0.7967237188446082,2.215087369195885,2.232335408528627,25.0,23.0,24.726793009759334,25.0,49.0,51.0,47.825253692368435,49.0,1.0,1.0,1.0,1.0,843.7636352319133,844.6153880152209,"{""type"":""LineString"",""coordinates"":[[-111.39572822137436,31.96948178357016],[-111.39574796683766,31.969186156446487],[-111.3957672318649,31.968778574141115],[-111.39576140216408,31.96864424431714]]}"
000000000000000001bc,AZ669,142.61962550845462,Breach,53817,35,TCD,,118.252445969,,Berm,-130.31861877441406,-90.00000000000003,-86.15891216025496,,1.0,0.1301900368222795,0.014996199999631955,0.2404397327302403,0.5113484756753969,0.7352747685496139,1,0.07334046943532964,0.1839505736767247,000000000000000001bc,0,31.93839409298988,-111.47053933511145,42626.208641561076,985.6022181710799,70.05295053240727,0.14593178952505176,0.15241487614731564,0.14502256386611176,-3.8642236618768493,-3.9331360893502283,1.3571440756267823,3.8642236618768493,3.9331360893502283,1.7421478132407249,3.8642236618768493,3.9331360893502283,21.88172484599589,21.780463479026107,21.87124259168189,21.8125,53.11827515400412,53.21953652097388,53.70039457358954,53.1875,1.0,1.0,1.0,1.0,984.0714464468342,985.7260012513967,"{""type"":""LineString"",""coordinates"":[[-111.47035463880377,31.93885119055958],[-111.47058458992788,31.938630903631704],[-111.47064623939801,31.938361979104574],[-111.47054527361949,31.938129483244513],[-111.47041809638053,31.93790604091402]]}"
000000000000000001cb,AZ669,235.51317003607082,Breach,53807,30,TCD,,85.4263695689,,Berm,90.0,113.0006713867187,11.365328516932276,879.2257125695859,1.0,0.20851637218661997,0.014247369402323884,0.3876119612263231,0.650009167993072,0.9886617349540908,1,2.233442704947268,1.4454403764532773,000000000000000001cb,1,31.899267233792436,-111.40064209922458,177.43124100564535,880.7286284854041,827.0554134388448,0.09727070823898004,0.08323612529154424,0.11819921234505497,-0.41924311070431486,-0.8823451172453929,-0.025923806311235847,0.41924311070431486,0.8823451172453929,0.17593088803683563,0.41924311070431486,0.8823451172453929,25.0,25.0,24.79236648631409,25.0,46.020589712317935,47.0,47.89505189855577,46.818820224719104,1.0,1.0,1.0,1.0,879.0393061702192,879.4530824548079,"{""type"":""LineString"",""coordinates"":[[-111.40107638165452,31.899370812465495],[-111.40070321014674,31.89926451000341],[-111.40046683324758,31.899229428514037],[-111.4001989603067,31.899194445762873]]}"
000000000000000001cc,AZ669,18694.86836819095,Breach,53806,3,TCD,,141.18586497,,Berm,90.00000000000006,-130.329542059144,36.07678241472007,879.4497851954611,1.0,0.22742339178004545,0.020733651221029575,0.440591799482993,0.7974482291802835,0.9989507926545904,0,1.115526502242747,1.5586908793023935,000000000000000001cc,1,31.902877859567894,-111.3987738693161,230.1337155116239,877.4555047008857,760.389260479337,0.13003172749804082,0.16650813942229192,0.12009870118457877,-0.9211686050642811,-1.545678231541558,0.6757297068958223,0.9211686050642811,1.545678231541558,0.5285535820341162,0.9211686050642811,1.545678231541558,23.724505259404527,24.0,24.48905354785241,24.0,49.9821715100731,50.0,48.35266486752498,50.0,1.0,1.0,1.0,1.0,876.8042826851721,877.0706488597156,"{""type"":""LineString"",""coordinates"":[[-111.39933998773819,31.90329032583186],[-111.39820775596804,31.90246539079436]]}"
00000000000000000264,AZ669,6.131958572221195,Breach,53886,73,TCD,,74.0674706223,,Berm,-89.9999999999999,49.663419924121484,89.17976309354081,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2826900693609699,-0.10302200215741544,00000000000000000264,0,31.879691640535388,-111.52171116367239,42639.54520340674,1041.8590087890625,46.0063268208183,0.13180051813471502,0.137242912729294,0.13916277921657882,-3.8085500114450497,-3.674759023913566,1.4947003735172377,3.8085500114450497,3.674759023913566,1.202472139780942,3.8085500114450497,3.674759023913566,20.0,20.0,23.024743296932883,20.0,55.0,55.0,52.46479221635877,55.0,1.0,1.0,1.7503974941662703,1.0,1040.5750157973346,1042.1362445452887,"{""type"":""LineString"",""coordinates"":[[-111.52164622060207,31.879976546804393],[-111.52175607919794,31.879913399885588],[-111.52172824814295,31.879631381579088],[-111.52163756559932,31.879372012616997]]}"
0000000000000000027b,AZ669,4017.2351934647,Breach,53820,36,TCD,,153.998216381,,Berm,-67.00588511014156,-49.678685800408346,-26.929003242479844,,0.0,0.0,0.0,0.0,0.0,0.0,1,0.15619295796542193,0.2961086689421355,0000000000000000027b,0,31.928892530078247,-111.43295029140587,42628.372138211074,915.5097676939884,395.6577884049709,0.12791991856124874,0.1365114184969874,0.12622380509166664,-2.1035894933023656,-1.124217880020808,0.3338302418656743,2.1035894933023656,1.124217880020808,2.063911178587432,2.1035894933023656,1.124217880020808,24.21395157981123,24.38712855032016,24.670194729304868,24.239781420765027,49.942429216249465,50.0,49.3075433748839,50.0,1.7860484201887568,1.6128714496798564,1.1887447520605827,1.7602185792349725,914.7742127763465,915.696393330892,"{""type"":""LineString"",""coordinates"":[[-111.43365482343273,31.928551881644538],[-111.43332455560734,31.928669444090854],[-111.43322505918371,31.92872800116042],[-111.43304692315267,31.928813695970113],[-111.43277477160952,31.9290071897092],[-111.4322613429081,31.929259721827695]]}"
0000000000000000029d,AZ669,617.959739999427,Breach,53807,30,TCD,,147.231169112,,Berm,-130.32988739013672,49.669769287109375,13.211036165508276,877.9522747732934,1.0,0.19644919491241258,0.018756814619983245,0.3587687859979583,0.6949248311712819,0.9576276553733356,0,0.8296868282410028,0.8423118271846962,0000000000000000029d,1,31.900911919566877,-111.40008368827768,176.2077883249235,879.385871352305,857.2024632109238,0.09776193453867273,0.08630116417594363,0.11822063093910821,-2.2126995681120434,-1.0714242491935124,1.7174074308366019,2.2126995681120434,1.0714242491935124,2.340979869534673,2.2126995681120434,1.0714242491935124,25.47563495479984,25.72802446272448,24.78731268681647,25.842942345924456,46.93844167025401,46.2719755372755,47.73928712020458,46.157057654075516,1.0,1.0,1.0,1.0,878.4545054708992,879.6085714429554,"{""type"":""LineString"",""coordinates"":[[-111.40083693844728,31.901050935427797],[-111.40054813977689,31.901033932698432],[-111.40040092187608,31.900980656836616],[-111.40003324586465,31.900932553221224],[-111.399349809519,31.900701830267845]]}"
000000000000000002e7,AZ669,68.94721736086805,Breach,53895,8,MLC;050819,,32.2470589798,,Berm,30.518661499023438,-49.695349363049445,85.62260594002528,843.3338135007829,0.5705828251358873,0.0,0.0,0.0,0.07396758584117723,0.18348344491581592,0,-0.01897268038436587,-0.24706055156743212,000000000000000002e7,0,31.983463259881322,-111.39919296628894,61.641797514135774,843.7650146484375,181.95437439667717,0.09759818879811008,0.09647273075817123,0.11208539107507627,-3.0567001427076548,-3.080492988684057,1.235310405094386,3.0567001427076548,3.080492988684057,1.1778767903645833,3.0567001427076548,3.080492988684057,24.0,24.0,24.65750116001594,24.0,45.0,45.0,46.43499353705423,45.0,1.0,1.0,1.0,1.0,842.9497092321312,844.1684379577637,"{""type"":""LineString"",""coordinates"":[[-111.39920410480934,31.983608768147192],[-111.39918182780386,31.98331775161448]]}"
00000000000000000151,AZ669,2142.6948100873105,Breach and Flank,53806,3,TCD,,78.5797332005,,Berm,0.0,-113.0040817260742,19.431250940097037,887.4832573573253,1.0,0.28053095758149593,0.03172977257484299,0.3991636091056143,0.8527550328710233,1.0,0,0.11195959733892871,0.1120668144702565,00000000000000000151,1,31.884519820927295,-111.40347885598182,94.30046351825553,888.1849694190087,32.20360353457561,0.18858965190312732,0.1502567882413592,0.13144934157553484,-1.0682605853987752,-1.4495106735669196,0.33317787323558906,1.0682605853987752,1.4495106735669196,0.6558074048945173,1.0682605853987752,1.4495106735669196,27.0,27.0,26.48213924502809,27.0,47.0,47.0,46.60369853914805,47.0,1.0,1.0,1.0,1.0,887.5273266931752,888.1135358872432,"{""type"":""LineString"",""coordinates"":[[-111.40386259504088,31.88465519131201],[-111.40309511805077,31.884384449389866]]}"
0000000000000000029e,AZ669,19207.36777782844,Breach and Flank,53806,3,TCD,,196.23890333,,Berm,-113.00245436672482,-130.3327226907088,-71.09329521410606,887.7820660169414,0.9720335593933689,7.805484967105459E-4,0.0,0.024534877774154043,0.30448266234947635,0.5669842238656688,1,-0.20225858976979127,-0.18155281782331187,0000000000000000029e,0,31.89140681713257,-111.40694386493338,42636.88843189044,891.7274247816392,92.00693220475546,0.11205945582978219,0.17521096634646005,0.11864806602284159,-1.7501419090173158,-1.9548001565203774,-0.05293675048032279,1.7501419090173158,1.9548001565203774,0.30771939292397593,1.7501419090173158,1.9548001565203774,25.753244656808935,25.878397572470792,25.689347517528343,25.80737396538751,44.03509394976431,43.36480728258763,45.84614720364054,43.57787810383746,1.0,1.0,1.0,1.0,890.4613740699981,891.4146160431625,"{""type"":""LineString"",""coordinates"":[[-111.4072371966452,31.89056028770751],[-111.4070867721911,31.890968296530517],[-111.40699860463644,31.891210408055912],[-111.40687450155028,31.891636245588106],[-111.40665676241022,31.892254950237817]]}"
